20190129 151600;10677.85;10689.95;10677.10;10689.95;16650
20190129 151700;10689.00;10698.10;10688.10;10694.55;21900
20190129 151800;10694.55;10700.00;10693.70;10700.00;13950
20190129 151900;10701.95;10702.00;10694.60;10696.15;32850
20190129 152000;10696.15;10709.00;10696.15;10709.00;29175
20190129 152100;10709.00;10714.00;10707.00;10714.00;27975
20190129 152200;10714.40;10722.20;10713.20;10721.40;20550
20190129 152300;10722.45;10728.00;10722.45;10727.60;30075
20190129 152400;10727.60;10727.60;10724.00;10727.00;22350
20190129 152500;10726.60;10735.00;10726.60;10732.10;33900
20190129 152600;10732.00;10733.65;10729.90;10731.30;29100
20190129 152700;10731.30;10735.00;10731.25;10734.00;22650
20190129 152800;10733.35;10738.00;10733.35;10734.95;19575
20190129 152900;10734.95;10735.00;10731.90;10734.00;32850
20190129 153000;10734.00;10735.00;10731.20;10732.25;31125
20190130 091600;10732.00;10745.55;10732.00;10732.70;37800
20190130 091700;10734.75;10737.90;10730.10;10735.55;24075
20190130 091800;10736.85;10743.00;10732.60;10737.45;66450
20190130 091900;10737.45;10740.45;10730.30;10730.90;44100
20190130 092000;10730.80;10736.10;10728.85;10732.55;15825
20190130 092100;10732.55;10733.40;10724.00;10733.40;33825
20190130 092200;10733.40;10734.65;10729.85;10729.85;13725
20190130 092300;10729.85;10733.40;10728.60;10730.30;29175
20190130 092400;10731.10;10737.00;10728.55;10736.30;14550
20190130 092500;10736.30;10741.55;10735.80;10738.60;23550
20190130 092600;10738.60;10740.45;10736.25;10740.45;18000
20190130 092700;10740.90;10743.60;10740.10;10743.00;20700
20190130 092800;10743.00;10743.00;10737.25;10738.00;21900
20190130 092900;10738.00;10738.40;10732.00;10732.20;30675
20190130 093000;10731.30;10731.35;10727.30;10729.95;16725
20190130 093100;10729.95;10734.45;10727.00;10729.85;22275
20190130 093200;10729.75;10729.75;10723.70;10728.85;24525
20190130 093300;10728.85;10733.35;10728.25;10729.20;19875
20190130 093400;10729.15;10733.60;10729.05;10733.60;10275
20190130 093500;10734.00;10739.10;10734.00;10735.00;22575
20190130 093600;10734.80;10735.60;10730.30;10733.35;12525
20190130 093700;10733.00;10734.00;10730.00;10731.00;14475
20190130 093800;10731.00;10731.90;10724.20;10724.20;6600
20190130 093900;10724.20;10724.90;10720.00;10722.90;19350
20190130 094000;10722.95;10723.10;10718.50;10719.00;15300
20190130 094100;10719.50;10723.10;10716.20;10718.55;21975
20190130 094200;10718.55;10722.00;10718.55;10721.60;3675
20190130 094300;10721.60;10722.40;10720.00;10720.00;4500
20190130 094400;10720.00;10720.40;10714.50;10714.50;5175
20190130 094500;10714.95;10716.60;10710.10;10711.95;11175
20190130 094600;10711.25;10712.60;10705.55;10712.15;25650
20190130 094700;10712.15;10712.15;10707.10;10707.25;9750
20190130 094800;10707.00;10713.00;10706.10;10712.60;17475
20190130 094900;10712.15;10716.60;10711.10;10716.10;7950
20190130 095000;10716.10;10718.40;10712.95;10715.10;4950
20190130 095100;10715.10;10720.40;10715.10;10717.55;11775
20190130 095200;10717.95;10722.05;10717.30;10722.05;6675
20190130 095300;10722.05;10722.30;10716.00;10716.00;13275
20190130 095400;10716.00;10718.95;10716.00;10717.10;2850
20190130 095500;10717.10;10717.10;10712.05;10712.05;3000
20190130 095600;10712.00;10712.60;10708.85;10711.10;6300
20190130 095700;10712.60;10714.60;10710.10;10712.20;4200
20190130 095800;10713.00;10714.00;10712.20;10713.20;5400
20190130 095900;10711.05;10712.10;10710.00;10711.55;5550
20190130 100000;10712.20;10719.55;10712.20;10717.60;9300
20190130 100100;10716.00;10722.00;10716.00;10722.00;7725
20190130 100200;10722.00;10724.00;10716.20;10718.60;27975
20190130 100300;10718.60;10721.10;10718.05;10719.95;5700
20190130 100400;10719.95;10721.00;10718.30;10720.90;6975
20190130 100500;10720.90;10722.60;10720.00;10722.60;7275
20190130 100600;10723.00;10723.10;10720.00;10722.05;6300
20190130 100700;10720.05;10721.40;10719.00;10721.00;3975
20190130 100800;10721.00;10726.55;10721.00;10725.60;57825
20190130 100900;10725.60;10725.60;10717.70;10717.85;6750
20190130 101000;10717.85;10719.05;10717.15;10719.05;14025
20190130 101100;10719.05;10721.10;10718.15;10720.00;52725
20190130 101200;10719.85;10722.00;10719.00;10721.30;6525
20190130 101300;10721.30;10721.30;10719.55;10721.20;4500
20190130 101400;10721.20;10721.20;10720.05;10720.95;3600
20190130 101500;10720.00;10725.20;10720.00;10725.20;10350
20190130 101600;10725.65;10726.40;10723.25;10725.00;10800
20190130 101700;10725.00;10725.00;10720.10;10720.30;18750
20190130 101800;10721.45;10721.75;10718.25;10718.25;3675
20190130 101900;10718.25;10722.00;10718.20;10720.20;11775
20190130 102000;10720.20;10720.45;10716.55;10718.15;1350
20190130 102100;10718.15;10718.65;10712.60;10714.75;4650
20190130 102200;10714.75;10717.00;10713.25;10713.25;5925
20190130 102300;10712.10;10713.00;10710.05;10710.05;36750
20190130 102400;10710.00;10712.10;10708.20;10708.30;24600
20190130 102500;10708.30;10709.65;10703.00;10703.90;18750
20190130 102600;10703.70;10706.60;10701.15;10701.15;30300
20190130 102700;10701.15;10702.45;10700.20;10702.30;14025
20190130 102800;10702.00;10705.60;10702.00;10704.85;12150
20190130 102900;10704.85;10704.95;10693.55;10693.55;24525
20190130 103000;10694.70;10694.70;10691.00;10693.80;30825
20190130 103100;10693.80;10693.80;10684.90;10684.90;29475
20190130 103200;10685.90;10685.90;10678.50;10681.10;35850
20190130 103300;10681.10;10683.00;10671.30;10677.00;50400
20190130 103400;10674.90;10681.10;10674.90;10680.85;33075
20190130 103500;10680.85;10683.10;10679.40;10681.30;28800
20190130 103600;10681.35;10683.45;10665.45;10665.45;29400
20190130 103700;10665.05;10670.10;10660.25;10668.10;22200
20190130 103800;10666.30;10672.60;10665.00;10672.60;23775
20190130 103900;10673.05;10673.10;10667.70;10670.00;15825
20190130 104000;10669.10;10670.00;10657.00;10659.60;25425
20190130 104100;10660.20;10662.60;10656.00;10657.55;21525
20190130 104200;10658.10;10662.95;10655.10;10656.35;18075
20190130 104300;10656.35;10664.90;10652.10;10664.90;25500
20190130 104400;10665.40;10670.95;10665.10;10666.00;11925
20190130 104500;10667.50;10668.55;10663.40;10667.10;10875
20190130 104600;10667.10;10670.50;10664.75;10669.00;13650
